PlanGenerator ID,PlanGenerator Scores,Run-0,Run-1,Run-2,Run-3,Run-4,Run-5,Run-6,Run-7,Run-8,Run-9
0,1.0,2,1,0,1,1,0,1,0,0,0
1,0.006944444444444444,58,44,67,43,55,50,54,54,57,45
2,0.006944444444444444,56,54,49,63,56,59,52,66,56,56
3,0.006944444444444444,60,70,56,58,56,57,60,50,55,67
4,0.06666666666666667,4,2,2,5,4,8,7,4,3,2
5,0.06666666666666667,1,1,5,4,3,2,2,8,3,5
6,0.06666666666666667,6,3,4,6,4,2,1,3,4,5
7,0.03333333333333333,4,10,4,6,10,9,8,5,13,7
8,0.03333333333333333,6,5,8,7,7,2,7,6,5,11
9,0.03333333333333333,3,10,5,7,4,11,8,4,4,2
